security,ticker
ARM Holdings PLC,ARM
ASML Holdings NV,ASML
AZZ Inc.,AZZ
Abercrombie & Fitch,ANF
Aberdeen Palladium ETF,PALL
Advanced Micro Devices,AMD
Advisorshares Pure Cannabis ETF,MSOS
Aehr Test Systems,AEHR
Alstom ADR,ALSMY
Altus Power Inc,AMPS
Amazon.com Inc,AMZN
Amplify Online Retail ETF,IBUY
Ansys Inc.,ANSS
Apple Inc,AAPL
Arcelor Mittal,MT
AstraZeneca PLC ADR,AZN
Axcelis Technologies Inc,ACLS
BASF,BASFY
Baldwin Insurance Grp Inc,BWIN
Bank of America,BAC
Bel Fuse Inc. Class B,BELFB
Blue Bird Corp,BLBD
Boeing Company,BA
Broadcom Inc,AVGO
Brookfield Asset Management,BAM
Camtek Ltd,CAMT
Canopy Growth Corporation,CGC
Carpenter Technologies Inc,CRS
"Caterpillar, Inc",CAT
Celestica Inc,CLS
Centrus Energy Corp,LEU
Cerence Inc,CRNC
Chegg Inc.,CHGG
Cognex Corp,CGNX
Costco Wholesale Corp,COST
DR Horton Inc.,DHI
Dassault Aviation,DUAVF
Defiance Quantum ETF,QTUM
Dick's Sporting Goods,DKS
Doximity Inc,DOCS
Enovix Corporation,ENVX
Evofem Biosciences Inc.,EVFM
Exxon Mobil Corp,XOM
FTAI Aviation Ltd,FTAI
Fair Isaac Corp,FICO
Fidelity Contrafund,FCNTX
Fidelity Growth Strategies,FDEGX
Fidelity Latin America,FLATX
Fidelity Mid Cap Value Fund,FSMVX
Fidelity Small Cap Value,FCPVX
Forian Inc.,FORA
General Motors,GM
Gigacloud Technology Inc.,GCT
Global Foundries Inc.,GFS
HCI Group,HCI
Hannon Armstrong Sustainable Inf,HASI
Heico Corp,HEI
Helix Technologies,HLIX
IES Holdingts Inc,IESC
Idexx Laboratories Inc.,IDXX
Innodata Inc,INOD
Interactive Brokers Group,IBKR
JP Morgan Ultra-Short Income ETF,JPST
Jefferies Financial Group,JEF
Karooooo Ltd,KARO
Kensho Clean Power ETF SPDR,CNRG
Kewaunee Scientific Corp,KEW
MSCI Mexico ETF,EWW
MakeMyTrip Ltd,MMYT
Matthews Japan Fund,MJFOX
Matthews Pacific Tiger Fund,MAPTX
Merck & Co. Inc.,MRK
Modine Manufacturing Co,MOD
Nano Nuclear Energy Inc,NNE
Navios Maritime Partners LP,NMM
Nvidia Corporation,NVDA
Octane ETF,OCTA
Old Dominion Freight Line,ODFL
Oppenheimer Holdings,OPY
Oracle Corp,ORCL
Paypal Holdings,PYPL
Powell Industries,POWL
PrimeEnergy Resources Corp,PNRG
Progressive Corporation,PGR
Proshares Short QQQ,PSQ
Proshares Short S&P 500,SH
Proshares Ultrashort S&P 500,SDS
Protagonist Theraputics Inc,PTGX
Qualcom Inc,QCOM
"Quantum Computing, Inc.",QUBT
Rheinmetall AG ADR,RNMBY
Rolls Royce Holdings ADR,RYCEY
S&P 500 ETF Trust,SPY
S&P Oil & Gas Exploration ETF SPDR,XOP
SPDR Communication,XLC
SPDR Consumer Discretionary,XLY
SPDR Consumer Staples,XLP
SPDR Energy Sector,XLE
SPDR Financial Sector,XLF
SPDR Healthcare,XLV
SPDR Materials Sector,XLB
SPDR Technology,XLK
Saab AB ADR,SAABY
ServiceNow Inc,NOW
Sezzle Inc,SEZL
Skywest Inc,SKYW
T-Mobile US Inc.,TMUS
Thales SA ADR,THLLY
The Trade Desk,TTD
ThyssenKrupp AG,TKAMY
Toro Co,TTC
"TransMedics Group, Inc.",TMDX
UFP Technologies Inc,UFPT
UIPath Inc,PATH
US Foods Holding Corp,USFD
United States Lime & Minerals Inc,USLM
Universal Stainless & Alloy,USAP
Vertiv Holdings Co,VRT
Vital Farms Inc,VITL
Western Midstream Partners LP,WES
Willis Lease Financial Corp,WLFC
Zoom Video Communications Inc,ZM
"e.l.f. Beauty, Inc.",ELF
